Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair
,,,,,,,
Weekday,785951,Church St. (Corner Of Tenth St.),5,5,10,40,0,37.413593,-79.142607
Weekday,786022,Florida Ave. (Northbound Corner Of Greenfield Dr.),4,7,10,63,0,37.391382,-79.133470
Weekday,786070,Fort Ave. (Westbound Oakridge Blvd.),7,3,10,192,0,37.390478,-79.172119
Weekday,786145,Langhorne Rd. (Eastbound In Front Of La Caretta),8,3,10,71,0,37.412488,-79.173025
Weekday,786235,Old Forest Rd. (Westbound Corner Of Chapel Ln.),7,3,10,89,0,37.399879,-79.223555
Weekday,786261,Park Ave. (Inbound Corner Of Floyd St.),3,7,10,87,0,37.408958,-79.153882
Weekday,786401,Timberlake Rd. (Westbound In Front Of Bojangles),5,6,10,23,0,37.352175,-79.227097
Weekday,786412,Twelfth St. (Eastbound Corner Of Grace St.),2,8,10,63,0,37.410499,-79.143287
Weekday,3478097,Wadsworth St. Outbound (Across from Park View United Methodist Church),2,8,10,71,0,37.403013,-79.166838
Weekday,785891,Campbell Ave. (Eastbound Corner Of Easley St.),3,6,9,83,0,37.389931,-79.147078
Weekday,785903,Campbell Ave. (Eastbound Corner Of Twelfth St.),6,3,9,90,0,37.402699,-79.157658
Weekday,785909,Campbell Ave. (Westbound Corner Of Georgia Ave.),7,2,9,51,0,37.383980,-79.141399
Weekday,785918,Campbell Ave. (Westbound In Front Of Burger King),7,2,9,44,0,37.380984,-79.135026
Weekday,785986,Eighth Street (Outbound Corner Of Clay St.),2,8,9,63,0,37.414037,-79.145864
Weekday,786021,Florida Ave. (Northbound Corner Of Campbell Ave.),4,5,9,68,0,37.380066,-79.133869
Weekday,786230,Old Forest Rd. (Outbound Corner Of Timber Court),3,6,9,92,0,37.409351,-79.214888
Weekday,786444,Wards Rd. (Northbound Chick Fil-A),5,4,9,25,0,37.348525,-79.185966
Weekday,786460,Wards Rd. (Southbound White Oak Dr.),2,8,9,173,0,37.374233,-79.185240
Weekday,786462,Waterlick Road (Startek Stop),4,5,9,21,1,37.329677,-79.249985
Weekday,785845,Bedford Ave. (Westbound Corner Of Grayson St.),2,6,8,47,1,37.430831,-79.159469
Weekday,785882,Buchanon St. (Telephone Pole In Front Of Storage Facility),0,7,8,79,0,37.405919,-79.154946
Weekday,785886,Buena Vista St. (Eastbound Corner Of Tulip St.),4,4,8,43,0,37.402805,-79.133881
Weekday,785916,Campbell Ave. (Westbound Corner Of Twelfth St.),2,6,8,60,0,37.403100,-79.158041
Weekday,785921,Candlers Mt. Rd. (Northbound Wells Fargo Across Street From Shakers),2,6,8,22,0,37.367511,-79.174767
Weekday,786014,Fifth St. (Eastbound Corner Of Polk St.),1,7,8,58,1,37.413913,-79.152626
Weekday,786063,Fort Ave. (Westbound Chesnut Hill Dr.),2,6,8,225,0,37.377190,-79.185278
Weekday,786078,Grace St. (Eastbound Before Robins Rd.),3,4,8,43,0,37.402715,-79.140003
Weekday,786118,Lakeside Dr. (Eastbound Walden Pond Apartments Stop),5,3,8,51,0,37.400338,-79.202360
Weekday,786144,Langhorne Rd. (Eastbound Holy Cross Catholic School),3,5,8,66,0,37.413465,-79.177214
Weekday,786216,Odd Fellows Rd. (Lynchburg Sheltered Industries Stop),4,4,8,23,1,37.378643,-79.154710
Weekday,786271,Park Ave. (Westbound Place Stop Across From Corner Of Hutters Alley),4,3,8,166,0,37.404998,-79.158731
Weekday,786331,Rivermont Ave. (Westbound In Front Of Magnolia Foods),1,7,8,84,0,37.435049,-79.169815
Weekday,786334,Rivermont Ave. (Westbound Randolph College Entrance),2,5,8,81,0,37.436876,-79.173597
Weekday,786448,Wards Rd. (Northbound Koto Japanese Steakhouse),4,4,8,80,0,37.371545,-79.183811
Weekday,786454,Wards Rd. (Southbound Carpetland),1,8,8,158,0,37.366862,-79.182753
Weekday,785816,16Th St.& Floyd St. (Outbound),3,4,7,45,0,37.402937,-79.148217
Weekday,785837,Bedford Ave. (Eastbound Corner Of Holly St.),7,1,7,34,0,37.431107,-79.160513
Weekday,785839,Bedford Ave. (Eastbound Transfer Point),5,1,7,26,0,37.434273,-79.166391
Weekday,785862,Boonsboro Rd. (Eastbound Kroger Stop.),6,1,7,20,0,37.443581,-79.203015
Weekday,785924,Candlers Station Shopping Center (Dollar Movie Parking Lot),5,2,7,51,0,37.358636,-79.169631
Weekday,785942,Chambers St. (Northbound Lovell St. Dearington Apartments),4,3,7,60,0,37.417322,-79.163766
Weekday,785950,Church St. (Corner Of Sixth St.),3,4,7,50,0,37.416546,-79.145244
Weekday,785965,Commerce St. (Eastbound Midblock Between 8th And 9Th St.),3,4,7,42,0,37.415640,-79.141712
Weekday,786025,Florida Ave. (Northbound First Stop After Food Lion Stop),3,4,7,66,0,37.384833,-79.131944
Weekday,786048,Fort Ave. (Northbound Before Lindsay St.),5,2,7,130,0,37.377565,-79.184667
Weekday,786150,Langhorne Rd. (Westbound Across From Holy Cross School),3,4,7,95,0,37.413636,-79.177164
Weekday,786223,Old Forest Rd. (Northbound Corner Of Poindexter St.),5,2,7,52,0,37.412579,-79.200552
Weekday,786257,Park Ave. (Eastbound Corner Of Hutters Alley),1,6,7,149,0,37.404850,-79.158885
Weekday,786273,Fort Ave. & Marsh St. ( Outbound),4,3,7,245,0,37.401933,-79.160084
Weekday,786299,Rivermont Ave. (Eastbound Corner Of Elmwood Ave.),6,1,7,50,0,37.434829,-79.170173
Weekday,2332129,Fifth St. (INBOUND Corner of Polk St.),5,2,7,82,0,37.413948,-79.152818
Weekday,785828,Atherholt Rd. (Eastbound Across St. From Cvc Next To Lawyers Offices Parking Lot),3,3,6,43,0,37.410973,-79.171943
Weekday,785831,Atherholt Rd. (Eastbound New Doctor's Office Next To Piedmont Eye Center),3,3,6,58,1,37.408985,-79.175899
Weekday,785841,Bedford Ave. (Westbound Across From Cleveland Ave.),2,5,6,44,0,37.434465,-79.166442
Weekday,785847,Bedford Ave. (Westbound In Front Of Rivermont Ave. Baptist Church),1,4,6,51,0,37.429125,-79.154901
Weekday,785865,Boonsboro Rd. (Outbound Across From Kroger),1,5,6,35,0,37.443456,-79.202419
Weekday,785889,Cabell St. (Corner Of Rivermont Ave. Across From Miles Market),1,5,6,54,0,37.427328,-79.152466
Weekday,785893,Campbell Ave. (Eastbound Corner Of Fairview Ave.),2,4,6,81,0,37.388847,-79.145644
Weekday,785904,Campbell Ave. (Eastbound Corner Of Woodrow St.),1,5,6,62,0,37.380926,-79.135383
Weekday,785914,Campbell Ave. (Westbound Corner Of Otey St.),4,2,6,62,0,37.392898,-79.148327
Weekday,785926,Candlers Station Shopping Center (Exiting Onto Candlers Mt. Rd.),2,4,6,96,0,37.358164,-79.170537
Weekday,785967,Commerce St. (Westbound Corner Of 10th St.),3,3,6,53,0,37.415935,-79.141794
Weekday,785981,Eighth Street (Eastbound Corner Of Harrison St.),1,5,6,69,0,37.413244,-79.147277
Weekday,786030,Florida Ave. (Southbound In Front Of Food Lion Closest To Campbell Ave.),3,3,6,39,0,37.381756,-79.132875
Weekday,786124,Lakeside Dr. (Westbound Corner Of Forest Brook Rd.),1,5,6,44,0,37.399357,-79.208838
Weekday,786147,Langhorne Rd. (Eastbound Main Entrance To Ec Glass High School),3,3,6,71,0,37.408778,-79.165346
Weekday,786170,Long Meadows Dr. (Southbound Wesly Apartments),3,3,6,24,0,37.373392,-79.198723
Weekday,786196,Memorial Ave. (Southbound Corner Of Alleghany Ave.),2,4,6,125,0,37.400850,-79.168369
Weekday,786211,Oakley Avenue And Macon Street (Eastbound),2,4,6,51,0,37.402600,-79.177138
Weekday,786212,Oakley Avenue And Macon Street (Westbound),5,2,6,56,0,37.402468,-79.177249
