Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair,Lat,Lon
Sunday,786182,Main St. (Westbound Corner Of Ruby St.),0,0,0,30,0,37.406008,-79.134350
Sunday,786204,Murrell Rd. (Westbound The Oaks Retirement Home),0,0,0,23,1,37.407676,-79.171139
Sunday,786208,Oakley Ave. (Eastbound First Stop On Oakley From Richmond St.),0,0,0,16,0,37.399626,-79.172444
Sunday,786210,Oakley Ave. (Westbound Corner Of Richmond St.),0,0,0,15,0,37.400322,-79.173368
Sunday,786217,Old Forest Rd. (Northbound Across From Devonshire Rd.),0,0,0,29,0,37.413984,-79.210779
Sunday,786218,Old Forest Rd. (Northbound Across From Oak Hill Ave.),0,0,0,29,0,37.410679,-79.195501
Sunday,786220,Old Forest Rd. (Northbound Corner Of Forest Brook Rd.),0,0,0,8,0,37.410713,-79.212747
Sunday,786221,Old Forest Rd. (Northbound Corner Of Hollywood Dr.),0,0,0,8,0,37.405329,-79.220278
Sunday,786224,Old Forest Rd. (Northbound Corner Of West St.),0,0,0,30,0,37.415522,-79.204837
Sunday,786227,Old Forest Rd. (Northbound Right Before Left Hand Turn Onto Expressway),0,0,0,8,0,37.400262,-79.223123
Sunday,786233,Old Forest Rd. (Westbound Across From Legacy Oakes Pl.),0,0,0,47,0,37.412058,-79.199225
Sunday,786235,Old Forest Rd. (Westbound Corner Of Chapel Ln.),0,0,0,29,0,37.399879,-79.223555
Sunday,786238,Old Forest Rd. (Westbound Corner Of Oak Hill Ave.),0,0,0,47,0,37.411008,-79.196110
Sunday,786239,Old Forest Rd. (Westbound Corner Of Range St.),0,0,0,47,0,37.409279,-79.193171
Sunday,786240,Old Forest Rd. (Westbound Corner Of Richeson Dr.),0,0,0,29,0,37.404125,-79.221179
Sunday,786241,Old Forest Rd. (Westbound Corner Of Wiggington Rd.),0,0,0,29,0,37.406005,-79.220061
Sunday,786244,Old Forest Rd. (Westbound Intersection Of Link Rd.),0,0,0,46,0,37.414889,-79.207037
Sunday,786245,Old Forest Rd. (Westbound Sterling Park Apartments,0,0,0,30,0,37.408107,-79.217056
Sunday,786253,Page St. (Northbound Corner Of Atherholt Rd.),0,0,0,20,0,37.413341,-79.169678
Sunday,786254,Page St. (Northbound Corner Of Tate Springs Rd.),0,0,0,18,0,37.414456,-79.171339
Sunday,786255,Page St. (Westbound Past Atherholt Rd. Toward Lynchburg General Main Campus),0,0,0,18,0,37.413755,-79.170577
Sunday,786259,Park Ave. (Eastbound Corner Of Park Ln.),0,0,0,42,0,37.404255,-79.164761
Sunday,786276,Pawnee Dr. (Westbound) Across From Longmeadows Dr.),0,0,0,21,0,37.378387,-79.202050
Sunday,786277,Pawnee Dr. (Westbound) Across From Sandusky Dr._Where The Two Roads Split),0,0,0,22,0,37.379672,-79.196713
Sunday,786284,Pulaski St. (Hunt St. Dearington Apartments),0,0,0,17,0,37.417088,-79.162422
Sunday,786286,River Ridge Mall (Exit Onto Candlers Mt. Rd. Past Red Lobster),0,0,0,60,0,37.366525,-79.174229
Sunday,786290,Rivermont Ave. (Eastbound Across From Library St.),0,0,0,37,0,37.422250,-79.150289
Sunday,786291,Rivermont Ave. (Eastbound Across From Ves Rd.),0,0,0,12,0,37.439248,-79.190340
Sunday,786295,Rivermont Ave. (Eastbound Corner Of Belvedere St.),0,0,0,14,0,37.437283,-79.174598
Sunday,786301,Rivermont Ave. (Eastbound Corner Of Norfolk Ave.),0,0,0,17,0,37.435065,-79.171622
Sunday,786302,Rivermont Ave. (Eastbound Corner Of Rivermont Terrace),0,0,0,12,0,37.439453,-79.184697
Sunday,786303,Rivermont Ave. (Eastbound Corner Of Rowland Dr.),0,0,0,14,0,37.437889,-79.177237
Sunday,786307,Rivermont Ave. (Inbound Corner Of Bedford Ave.),0,0,0,10,0,37.435601,-79.168595
Sunday,786312,Rivermont Ave. (Westbound Across From Rivermont Terrace),0,0,0,33,0,37.439621,-79.184942
Sunday,786317,Rivermont Ave. (Westbound Corner Of Columbia Ave.),0,0,0,18,0,37.436984,-79.166124
Sunday,786318,Rivermont Ave. (Westbound Corner Of Easton Ave.),0,0,0,19,0,37.432513,-79.156800
Sunday,786321,Rivermont Ave. (Westbound Corner Of Jones St.),0,0,0,21,0,37.423370,-79.151375
Sunday,786329,Rivermont Ave. (Westbound Entrance Of Riverside Park),0,0,0,18,0,37.436906,-79.165061
Sunday,786338,Rivermont Avenue (Eastbound Corner Of Loudon Street),0,0,0,11,0,37.434960,-79.161714
Sunday,786343,Sandusky Dr. (Southbound Across From Kanawha Rd. ),0,0,0,22,0,37.380415,-79.194859
Sunday,786344,Sandusky Dr. (Southbound Corner Of Crawford Rd.),0,0,0,22,0,37.383750,-79.194983
Sunday,786369,Sussex St. (Northbound Corner Of Warren Ave.),0,0,0,12,0,37.393082,-79.180018
