Day of Week,Route,Direction,Stop ID,Stop Seq ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair
,,,,,,,,,,
Sunday,1A,Outbound,785809,1,Kemper Street Transfer Center,40,40,80,56,4,37.408105,-79.157322
Sunday,1A,Outbound,786107,2,Kemper and 13th St,1,1,2,56,0,37.403339,-79.154050
Sunday,1A,Outbound,785812,3,15Th St. & Buchanan St. (Outbound),1,1,2,56,0,37.402122,-79.151860
Sunday,1A,Outbound,785813,4,15Th St. & Pierce St. (Outbound),2,2,4,55,0,37.402707,-79.150791
Sunday,1A,Outbound,786018,5,Fillmore St. (Southbound Corner Of 16th St.),0,0,1,56,0,37.402600,-79.149228
Sunday,1A,Outbound,785816,6,16Th St.& Floyd St. (Outbound),3,4,7,56,0,37.402937,-79.148217
Sunday,1A,Outbound,785815,7,16th St. & Wise St. (Outbound),2,1,3,57,0,37.403425,-79.147370
Sunday,1A,Outbound,785819,8,16th St. & Taylor St. (Outbound),2,3,4,56,0,37.403967,-79.146402
Sunday,1A,Outbound,785818,9,16th St. & Monroe St. (Outbound),2,2,4,56,0,37.404478,-79.145508
Sunday,1A,Outbound,785817,10,16th St. & Grace St. (Outbound),1,3,4,55,0,37.405417,-79.143921
Sunday,1A,Outbound,786081,11,Grace St. (Southbound Corner Of 17Th St.),2,2,4,56,0,37.405054,-79.143657
Sunday,1A,Outbound,786082,12,Grace St. (Southbound Corner Of Knight St.),3,2,5,57,1,37.403992,-79.143705
Sunday,1A,Outbound,786076,13,Grace St. (Eastbound Across From Locust St.),1,0,2,58,0,37.403341,-79.142079
Sunday,1A,Outbound,786078,14,Grace St. (Eastbound Before Robins Rd.),5,7,11,57,0,37.402715,-79.140003
Sunday,1A,Outbound,786409,15,Tritek/KDC One,0,0,0,10,0,37.399697,-79.142526
Sunday,1A,Outbound,786077,16,Grace St. (Eastbound Across Street From Maple St.),0,0,0,56,0,37.402142,-79.138497
Sunday,1A,Outbound,786079,17,Grace St. (Eastbound Corner Of Florida Ave.),1,2,3,57,0,37.401360,-79.137286
Sunday,1A,Outbound,786023,18,Florida Ave. (Northbound Corner Of Poplar St.),1,1,2,57,0,37.402442,-79.136861
Sunday,1A,Outbound,786282,19,Poplar St. (Eastbound Across Street From Buena Vista St.),2,1,3,58,0,37.402234,-79.135392
Sunday,1A,Outbound,785886,20,Buena Vista St. (Eastbound Corner Of Tulip St.),2,3,5,58,0,37.402805,-79.133881
Sunday,1A,Outbound,785885,21,Buena Vista St. (Eastbound Corner Of Main St.),0,0,0,58,0,37.403625,-79.132450
Sunday,1A,Outbound,786180,22,Main St. (Westbound Across From Oak St.),0,0,0,58,0,37.404658,-79.133121
Sunday,1A,Outbound,786182,23,Main St. (Westbound Corner Of Ruby St.),1,0,1,59,0,37.406008,-79.134350
Sunday,1A,Outbound,786181,24,Main St. (Westbound Corner Of Pine St.),1,0,1,59,0,37.406965,-79.135181
Sunday,1A,Outbound,786173,25,Main St. (Corner Of Pearl St.),0,0,0,59,0,37.409636,-79.137567
Sunday,1A,Outbound,786183,26,Main St. (Westbound Corner Of Washington St.),2,1,3,58,0,37.410470,-79.138284
Sunday,1A,Outbound,785968,27,Commerce St. (Westbound Craddock Terry Parking Lot),0,1,2,57,0,37.411091,-79.138279
