ROUTE,COUNT
4,3
7A,2
9,1
10,5
12,10
3A,28
3B,17
O_D,Block,Bus,Trip Start Stop ID,Trip Start Location,Trip End Stop ID,Trip End Location,Number of O_D Observations
,,,,,,,
785809-785839,301,3A,2843  ,2023-10-12,1215,1,901,12:15:09,12:55:44,785809,KEMPER STREET TRANSFER STATI    ,785839,BEDFORD AVE./IN FRONT OF DOL    ,40.58,BIKE RACK
785839-786417,301,3A,2843  ,2023-10-12,1245,0,901,12:55:44,13:11:39,785839,BEDFORD AVE./IN FRONT OF DOL    ,786417,12TH ST. & CLAY ST. (INBOUND    ,15.92,BIKE RACK
786417-786410,301,3A,2843  ,2023-10-12,1245,0,901,13:11:39,13:26:20,786417,12TH ST. & CLAY ST. (INBOUND    ,786410,12TH ST. & CHURCH ST. (OUTBO    ,14.68,BIKE RACK
785809-786410,301,3A,2843  ,2023-10-17,1315,1,903,13:14:14,13:25:36,785809,KEMPER STREET TRANSFER STATI    ,786410,12TH ST. & CHURCH ST. (OUTBO    ,11.37,BIKE RACK
786423-785809,301,3A,2843  ,2023-10-17,1615,1,903,16:44:39,17:14:23,786423,VES RD./ ACROSS FROM WESTMIN    ,785809,KEMPER STREET TRANSFER STATI    ,29.73,BIKE RACK
785839-786417,301,3A,2843  ,2023-10-17,1845,0,903,18:59:23,19:10:08,785839,BEDFORD AVE./IN FRONT OF DOL    ,786417,12TH ST. & CLAY ST. (INBOUND    ,10.75,BIKE RACK
786417-786174,301,3A,2843  ,2023-10-17,1845,0,903,19:10:08,19:33:06,786417,12TH ST. & CLAY ST. (INBOUND    ,786174,7TH ST. & MAIN ST.              ,22.97,BIKE RACK
786174-785841,301,3A,2843  ,2023-10-17,1915,1,903,19:33:06,19:40:31,786174,7TH ST. & MAIN ST.              ,785841,BEDFORD AVE. & MAGNOLIA ST.     ,7.42,BIKE RACK
785809-786422,301,3A,2843  ,2023-10-30,0915,1,903,10:11:22,10:40:42,785809,KEMPER STREET TRANSFER STAT     ,786422,VES RD./ ACROSS FROM VES SC     ,29.33,BIKE RACK
785809-786413,301,3A,2843  ,2023-10-30,1815,1,903,18:14:11,18:24:12,785809,KEMPER STREET TRANSFER STATI    ,786413,12TH ST. & TAYLOR ST. (OUTBO    ,10.02,BIKE RACK
786413-786179,301,3A,2843  ,2023-10-30,1815,1,903,18:24:12,18:31:16,786413,12TH ST. & TAYLOR ST. (OUTBO    ,786179,MAIN ST. & 11TH ST.             ,7.07,BIKE RACK
786179-786331,301,3A,2843  ,2023-10-30,1815,1,903,18:31:16,18:46:10,786179,MAIN ST. & 11TH ST.             ,786331,RIVERMONT AVE./ IN FRONT OF     ,14.90,BIKE RACK
786423-785809,301,3A,2843  ,2023-10-30,2015,1,903,20:45:55,21:18:39,786423,VES RD./ ACROSS FROM WESTMIN    ,785809,KEMPER STREET TRANSFER STATI    ,32.73,BIKE RACK
785839-786417,301,3A,2843  ,2023-11-06,1045,0,901,10:54:33,11:01:02,785839,BEDFORD AVE./IN FRONT OF DOL    ,786417,12TH ST. & CLAY ST. (INBOUND    ,6.48,BIKE RACK
786174-785847,301,3A,2843  ,2023-11-06,1215,1,901,12:29:43,12:36:11,786174,7TH ST. & MAIN ST.              ,785847,BEDFORD AVE. & RIVERMONT AVE    ,6.47,BIKE RACK
786292-3463386,301,3A,2843  ,2023-11-06,1445,0,901,14:53:02,14:57:12,786292,RIVERMONT AVE. & VISTA AVE.     ,3463386,BEDFORD AVE. & RIVERMONT AVE    ,4.17,BIKE RACK
3463386-786422,301,3A,2843  ,2023-11-06,1445,0,901,14:57:12,15:44:38,3463386,BEDFORD AVE. & RIVERMONT AVE    ,786422,VES RD./ ACROSS FROM VES SCH    ,47.43,BIKE RACK
786422-786417,301,3A,2843  ,2023-11-06,1515,1,901,15:44:38,16:03:48,786422,VES RD./ ACROSS FROM VES SCH    ,786417,12TH ST. & CLAY ST. (INBOUND    ,19.17,BIKE RACK
786417-785809,302,3B,2853  ,2023-10-17,1110,0,901,11:31:21,11:40:20,786417,12TH ST. & CLAY ST. (INBOUND    ,785809,KEMPER STREET TRANSFER STATI    ,8.98,BIKE RACK
785809-785951,302,3B,2853  ,2023-10-17,1145,1,901,11:40:20,12:30:13,785809,KEMPER STREET TRANSFER STATI    ,785951,CHURCH ST. & 10TH ST.           ,49.88,BIKE RACK
785951-785809,302,3B,2853  ,2023-10-17,1210,0,901,12:30:13,12:42:07,785951,CHURCH ST. & 10TH ST.           ,785809,KEMPER STREET TRANSFER STATI    ,11.90,BIKE RACK
786292-786261,302,3B,2853  ,2023-11-13,0555,0,801,06:15:36,06:34:45,786292,RIVERMONT AVE. & VISTA AVE.     ,786261,PARK AVE. & FLOYD ST. (INBOU    ,19.15,BIKE RACK
786417-785809,302,3B,2853  ,2023-11-15,1010,0,901,10:35:51,10:42:52,786417,12TH ST. & CLAY ST. (INBOUND    ,785809,KEMPER STREET TRANSFER STATI    ,7.02,BIKE RACK
785951-786410,302,3B,2853  ,2023-11-15,1210,0,901,12:33:48,12:57:07,785951,CHURCH ST. & 10TH ST.           ,786410,12TH ST. & CHURCH ST. (OUTBO    ,23.32,BIKE RACK
3463385-785865,302,3B,2853  ,2023-11-17,0845,1,801,09:02:37,09:07:47,3463385,RIVERMONT AVE. & VISTA AVE.     ,785865,BOONSBORO RD./ ACROSS FROM K    ,5.17,BIKE RACK
785865-785862,302,3B,2853  ,2023-11-17,0845,1,801,09:07:47,09:16:07,785865,BOONSBORO RD./ ACROSS FROM K    ,785862,BOONSBORO RD./ KROGER STOP (    ,8.33,BIKE RACK
785862-786292,302,3B,2853  ,2023-11-17,0910,0,801,09:16:07,09:21:00,785862,BOONSBORO RD./ KROGER STOP (    ,786292,RIVERMONT AVE. & VISTA AVE.     ,4.88,BIKE RACK
786292-3463385,302,3B,2853  ,2023-11-17,0910,0,801,09:21:00,10:04:51,786292,RIVERMONT AVE. & VISTA AVE.     ,3463385,RIVERMONT AVE. & VISTA AVE.     ,43.85,BIKE RACK
3463385-785865,302,3B,2853  ,2023-11-17,0945,1,801,10:04:51,10:09:08,3463385,RIVERMONT AVE. & VISTA AVE.     ,785865,BOONSBORO RD./ ACROSS FROM K    ,4.28,BIKE RACK
785865-785862,302,3B,2853  ,2023-11-17,0945,1,801,10:09:08,10:16:49,785865,BOONSBORO RD./ ACROSS FROM K    ,785862,BOONSBORO RD./ KROGER STOP (    ,7.68,BIKE RACK
785862-786292,302,3B,2853  ,2023-11-17,1010,0,801,10:16:49,10:21:20,785862,BOONSBORO RD./ KROGER STOP (    ,786292,RIVERMONT AVE. & VISTA AVE.     ,4.52,BIKE RACK
786292-785955,302,3B,2853  ,2023-11-17,1010,0,801,10:21:20,10:36:04,786292,RIVERMONT AVE. & VISTA AVE.     ,785955,CLAY ST. & 11TH ST. (INBOUND    ,14.73,BIKE RACK
