Day of Week,Route,Direction,Stop ID,Stop Seq ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair
,,,,,,,,,,
Saturday,1A,Outbound,786107,2,Kemper and 13th St,1,3,4,42,0,37.403339,-79.154050
Saturday,1A,Outbound,785812,3,15Th St. & Buchanan St. (Outbound),0,1,1,42,0,37.402122,-79.151860
Saturday,1A,Outbound,785813,4,15Th St. & Pierce St. (Outbound),1,2,2,41,0,37.402707,-79.150791
Saturday,1A,Outbound,786018,5,Fillmore St. (Southbound Corner Of 16th St.),1,1,2,41,0,37.402600,-79.149228
Saturday,1A,Outbound,785816,6,16Th St.& Floyd St. (Outbound),2,2,4,41,0,37.402937,-79.148217
Saturday,1A,Outbound,785815,7,16th St. & Wise St. (Outbound),0,0,1,41,0,37.403425,-79.147370
Saturday,1A,Outbound,785819,8,16th St. & Taylor St. (Outbound),2,2,4,41,0,37.403967,-79.146402
Saturday,1A,Outbound,785818,9,16th St. & Monroe St. (Outbound),3,4,6,41,0,37.404478,-79.145508
Saturday,1A,Outbound,785817,10,16th St. & Grace St. (Outbound),2,2,4,40,0,37.405417,-79.143921
Saturday,1A,Outbound,786081,11,Grace St. (Southbound Corner Of 17Th St.),1,0,1,41,0,37.405054,-79.143657
Saturday,1A,Outbound,786082,12,Grace St. (Southbound Corner Of Knight St.),1,1,2,41,0,37.403992,-79.143705
Saturday,1A,Outbound,786076,13,Grace St. (Eastbound Across From Locust St.),0,0,1,41,0,37.403341,-79.142079
Saturday,1A,Outbound,786078,14,Grace St. (Eastbound Before Robins Rd.),2,5,7,38,0,37.402715,-79.140003
Saturday,1A,Outbound,786409,15,Tritek/KDC One,2,2,4,13,0,37.399697,-79.142526
Saturday,1A,Outbound,786077,16,Grace St. (Eastbound Across Street From Maple St.),0,0,1,40,0,37.402142,-79.138497
Saturday,1A,Outbound,786079,17,Grace St. (Eastbound Corner Of Florida Ave.),2,2,4,40,0,37.401360,-79.137286
Saturday,1A,Outbound,786023,18,Florida Ave. (Northbound Corner Of Poplar St.),1,1,1,40,0,37.402442,-79.136861
Saturday,1A,Outbound,786282,19,Poplar St. (Eastbound Across Street From Buena Vista St.),0,0,0,40,0,37.402234,-79.135392
Saturday,1A,Outbound,785886,20,Buena Vista St. (Eastbound Corner Of Tulip St.),3,3,6,40,0,37.402805,-79.133881
Saturday,1A,Outbound,785885,21,Buena Vista St. (Eastbound Corner Of Main St.),1,0,1,40,0,37.403625,-79.132450
Saturday,1A,Outbound,786180,22,Main St. (Westbound Across From Oak St.),0,0,0,40,0,37.404658,-79.133121
Saturday,1A,Outbound,786182,23,Main St. (Westbound Corner Of Ruby St.),1,0,1,41,0,37.406008,-79.134350
Saturday,1A,Outbound,786181,24,Main St. (Westbound Corner Of Pine St.),2,0,2,42,0,37.406965,-79.135181
Saturday,1A,Outbound,786173,25,Main St. (Corner Of Pearl St.),0,0,0,42,0,37.409636,-79.137567
Saturday,1A,Outbound,786183,26,Main St. (Westbound Corner Of Washington St.),2,2,3,42,0,37.410470,-79.138284
Saturday,1A,Outbound,785968,27,Commerce St. (Westbound Craddock Terry Parking Lot),0,1,1,42,0,37.411091,-79.138279
Saturday,1A,Outbound,785966,28,Commerce St. (Westbound Corner Of 10th St.),1,2,3,42,0,37.414399,-79.140427
Saturday,1A,Outbound,785967,29,Commerce St. (Westbound Corner Of 10th St.),1,1,2,41,0,37.415935,-79.141794
Saturday,1A,Outbound,786174,30,7th St. & Main St.,3,2,5,43,0,37.417066,-79.144170
Saturday,1A,Outbound,785809,30,Kemper Street Transfer Center,29,30,59,38,1,37.408105,-79.157322
Saturday,1A,Outbound,786009,31,Fifth St. (Westbound Corner Of Church St.),0,0,0,43,0,37.417539,-79.146487
Saturday,1A,Outbound,786010,32,Fifth St. (Westbound Corner Of Clay St.),0,2,2,42,0,37.416697,-79.147922
Saturday,1A,Outbound,786012,33,Fifth St. (Westbound Corner Of Madison St.),5,4,10,42,0,37.415984,-79.149220
Saturday,1A,Outbound,786005,34,Federal St. (Westbound Corner Of 4th St.),3,3,6,42,0,37.415827,-79.151294
Saturday,1A,Outbound,786004,35,Federal St. (Westbound Corner Of 2nd St.),0,0,0,42,0,37.417495,-79.152791
Saturday,1A,Outbound,786003,36,Federal St. (Westbound Corner Of 1St St. Across From True Holiness Church Of The Lord Jesus Christ),1,1,1,43,0,37.418655,-79.153826
Saturday,1A,Outbound,786002,37,Federal St. (Tinbridge Manor Stop Where It Turns Into Hollins Mill Rd. ),9,8,17,44,2,37.419869,-79.155127
Saturday,1A,Outbound,2501911,38,Jackson Street and Garland Street,1,1,1,45,0,37.418650,-79.155372
Saturday,1A,Outbound,2501912,39,Jackson Street and 3rd Street,1,0,1,45,0,37.416455,-79.153343
Saturday,1A,Outbound,786000,40,Federal St. (Eastbound Corner Of 3rd St.),0,0,0,33,0,37.416762,-79.152282
Saturday,1A,Outbound,786006,41,Fereral St. (Eastbound Corner Where Roundabout Is),1,1,2,45,0,37.415468,-79.151131
